movieId,title,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,War,Musical,Documentary,Western,Film-Noir,movie_Year,mean_rating,reviews_count
1,Toy Story (1995),1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.91,232
2,Jumanji (1995),1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.35,92
3,Grumpier Old Men (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.19,58
4,Waiting to Exhale (1995),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,2.82,11
5,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.25,62
6,Heat (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1995,4.07,115
7,Sabrina (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.38,55
8,Tom and Huck (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.67,3
9,Sudden Death (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,2.87,23
10,GoldenEye (1995),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1995,3.6,135
11,"American President, The (1995)",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.73,85
12,Dracula: Dead and Loving It (1995),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995,2.83,20
13,Balto (1995),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.44,8
14,Nixon (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.46,25
15,Cutthroat Island (1995),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,3.11,18
16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995,3.79,84
17,Sense and Sensibility (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.93,100
18,Four Rooms (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.64,21
19,Ace Ventura: When Nature Calls (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2.64,91
20,Money Train (1995),0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1995,3.16,16
21,Get Shorty (1995),0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1995,3.49,108
22,Copycat (1995),0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1995,3.43,42
23,Assassins (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1995,3.15,24
24,Powder (1995),0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1995,2.89,38
25,Leaving Las Vegas (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.77,87
26,Othello (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.75,14
27,Now and Then (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.2,5
28,Persuasion (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.79,14
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1995,4.23,45
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995,3.5,10
31,Dangerous Minds (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.17,44
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1995,3.94,207
33,Wings of Courage (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,2.5,1
34,Babe (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.62,129
35,Carrington (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.0,3
